Modelled table-level privileges for anon (Supabase stock default ACL grants anon SELECT/INSERT/UPDATE/DELETE on every new public table; 07 revokes only TRUNCATE/TRIGGER/REFERENCES)
table | anon DML revoked? | evidence | any policy admitting anon/public?
app_user | NO | - | none
approval | NO | - | none
arrears_installment_charge | NO | - | none
arrears_plan_sequence | NO | - | none
arrears_repayment_installment | NO | - | none
arrears_repayment_plan | NO | - | none
attachment | NO | - | none
audit_log | NO | - | none
console_role | NO | - | none
console_role_permission | NO | - | none
credential_number_sequence | NO | - | none
credential_policy | NO | - | none
credential_print_log | NO | - | none
credential_request | NO | - | none
credential_request_sequence | NO | - | none
credential_request_status_history | NO | - | none
credential_status_history | NO | - | none
credential_verification_log | yes | supabase/migrations/00000000000034_task3_harden_credential_verification.sql:126: REVOKE ALL ON TABLE public.credential_verification_log FROM PUBLIC, anon, authenticated | none
fee_schedule | NO | - | none
household | NO | - | none
household_change_log | NO | - | none
household_location | NO | - | none
id_card_template | NO | - | none
id_card_template_field | NO | - | none
id_card_template_field_draft | NO | - | none
kebele | NO | - | none
kebele_rental_house | NO | - | none
office | NO | - | none
payment | NO | - | none
payment_reconciliation_exception | NO | - | none
rate_limit_bucket | yes | supabase/migrations/00000000000022_rate_limit.sql:40: REVOKE ALL ON TABLE public.rate_limit_bucket FROM PUBLIC, anon, authenticated | none
receipt | NO | - | none
receipt_sequence | NO | - | none
rent_account | NO | - | none
rent_account_sequence | NO | - | none
rent_charge | NO | - | none
rent_payment_settlement | NO | - | none
rent_rate_history | NO | - | none
rent_reminder | NO | - | none
rental_occupancy | NO | - | none
rental_occupancy_request | NO | - | none
rental_payment | NO | - | none
rental_policy | NO | - | none
rental_request_document | NO | - | none
rental_request_sequence | NO | - | none
residence_credential | NO | - | none
resident | NO | - | none
resident_document | NO | - | none
resident_number_sequence | NO | - | none
role_permission | NO | - | none
service_request | NO | - | none
service_request_attachment | NO | - | none
service_request_checkpoint | yes | supabase/migrations/00000000000083_rental_phase5_checkpoint.sql:197: REVOKE ALL ON public.service_request_checkpoint FROM PUBLIC, anon, authenticated | none
service_request_sequence | NO | - | none
service_request_status_history | NO | - | none
service_type | NO | - | none
tenant_module_config | NO | - | none
tenant_role | NO | - | none
tenant_role_permission | NO | - | none
user_permission_override | NO | - | none
vital_event | NO | - | none
vital_event_sequence | NO | - | none
woreda | NO | - | none
woreda_settings | NO | - | none
workflow_status_history | NO | - | none
workflow_transition | NO | - | none
