# docs/amharic-strings-glossary.csv (693 rows, last commit eb3d283 2026-09-14) vs Ethiopic runs in src/ (heuristic regex; fragments included)
distinct Ethiopic runs in src: 1750
not present in (or a substring of) any glossary entry: 1065
glossary entries no longer found verbatim in src: በጥበቃ ላይ ያሉ, የመታወቂያ ጥያቄ ዝርዝር

src/lib/residentConstants.ts:24	ሁለተኛ ደረጃ
src/utils/amountInWords.ts:83	ሁለት
src/components/settings/UsersRolesTab.tsx:82	ሁሉ አስተዳዳሪ
src/components/admin/PlatformUsersTab.tsx:369	ሁሉ አስተዳዳሪዎች
src/routes/woreda.rental-houses.requests.index.tsx:397	ሁሉም ሁኔታዎች
src/routes/woreda.credentials.$requestId.print.tsx:1135	ሁሉም ህትመቶች ይመዘገባሉ
src/routes/woreda.rental-houses.requests.index.tsx:388	ሁሉም አይነቶች
src/routes/woreda.rental-houses.requests.index.tsx:359	ሁሉም አዲስ ምዝገባ እና የመተው ጥያቄዎች በቀበሌ ኪራይ ቤቶች
src/routes/woreda.audit.tsx:441	ሁሉም ክፍሎች
src/routes/woreda.revenue.index.tsx:334	ሁሉም ዓይነቶች
src/routes/woreda.credentials.index.tsx:78	ሁሉም የመታወቂያ ጥያቄዎች
src/routes/woreda.rental-houses.occupants.new.tsx:472	ሁሉንም መረጃዎች በጥንቃቄ መሙላትዎን ያረጋግጡ።
src/routes/woreda.residents.$residentId.index.tsx:527	ሁሉንም አሳይ
src/routes/woreda.services.$requestId.index.tsx:988	ሂደት ጀምር
src/utils/amountInWords.ts:96	ሃምሳ
src/utils/amountInWords.ts:96	ሃያ
src/lib/credentialWorkflowSchemas.ts:23	ህትመት ስህተት
src/routes/woreda.credentials.$requestId.print.tsx:1316	ህትመትን ያረጋግጡ
src/components/common/StatusChip.tsx:74	ለህትመት ዝግጁ
src/components/credentials/KpiWidgetRow.tsx:55	ለህትመት ዝግጁ/በህትመት ላይ
src/routes/woreda.services.$requestId.print.tsx:157	ለሚመለከተው ሁሉ፣
src/components/settings/LetterTemplatesTab.tsx:112	ለሚመለከተው አካል ሁሉ
src/routes/woreda.reports.index.tsx:102	ለማጣሪያው ስም ይስጡ
src/routes/woreda.services.$requestId.index.tsx:833	ለማጽደቅ ላክ
src/routes/woreda.reports.index.tsx:255	ለምሳሌ የወርሃዊ ገቢ ግምገማ
src/routes/woreda.credentials.new.tsx:124	ለእርማት ምክንያት ያስፈልጋል
src/routes/woreda.credentials.new.tsx:106	ለእርማት ደጋፊ ሰነድ ያስፈልጋል
src/routes/woreda.households.$householdId.edit.tsx:271	ለውጥ አስቀምጥ
src/routes/woreda.residents.$residentId.edit.tsx:349	ለውጦችን አስቀምጥ
src/routes/woreda.households.index.tsx:680	ለዚህ ቤተሰብ የተመዘገቡ ሁሉም ለውጦች።
src/routes/woreda.households.$householdId.index.tsx:723	ለዚህ ቤተሰብ የተጫነ ሰነድ የለም
src/routes/woreda.credentials.new.tsx:943	ለዚህ ነዋሪ ምንም ቀዳሚ ማስረጃ አልተገኘም
src/routes/woreda.revenue.$paymentId.receipt.tsx:335	ለዚህ ክፍያ ደረሰኝ አልተገኘም
src/routes/woreda.revenue.index.tsx:264	ለዚህ ክፍያ ደረሰኝ የለም
src/components/print/PrintDocumentShell.tsx:285	ለዚህ ጊዜ መረጃ የለም
src/routes/woreda.households.$householdId.index.tsx:330	ሌላ (ይግለጹ
src/lib/phoneNumber.ts:12	ልክ 9 አሃዝ መሆን አለበት
src/routes/woreda.rental-accounts.$occupancyId.tsx:297	ልክ ያልሆነ መጠን
src/routes/woreda.rental-accounts.$occupancyId.tsx:372	ልክ ያልሆነ ቀን
src/routes/woreda.rental-accounts.$occupancyId.tsx:365	ልክ ያልሆነ ብዛት
src/routes/woreda.rental-accounts.$occupancyId.tsx:258	ልክ ያልሆነ ወር
src/components/verification/HararildScanner.tsx:49	ልክ ያልሆነ ይዘት
src/components/verification/HararildScanner.tsx:48	ልክ ያልሆነ ፊርማ
src/routes/woreda.rental-accounts.$occupancyId.tsx:315	ልዩነቱ ለሂሳብ ማስተካከያ ተመዝግቧል
src/routes/woreda.rental-reports.tsx:356	ልዩነቶች ብዛት
src/utils/ethiopianCalendar.ts:18	ሐምሌ
src/components/settings/LetterTemplatesTab.tsx:110	ሐረሪ ወረዳ
src/routes/woreda.reports.index.tsx:327	ሕዝብ
src/components/settings/LetterTemplatesTab.tsx:214	መለያ ቁልፎች
src/routes/woreda.services.$requestId.index.tsx:804	መልስ
src/routes/woreda.credentials.$requestId.index.tsx:1345	መመለሱን አረጋግጥ
src/routes/woreda.civil.$eventId.tsx:400	መመለስ አልተሳካም
src/routes/woreda.civil.$eventId.tsx:90	መረጃ ሰጪ ተረጋግጧል
src/routes/woreda.residents.$residentId.index.tsx:932	መረጃ ተሻሽሏል
src/routes/woreda.credentials.$requestId.print.tsx:1038	መረጃው ትክክል መሆኑን አረጋግጣለሁ
src/components/common/TableStates.tsx:88	መረጃውን መጫን አልተቻለም
src/routes/woreda.settings.woreda-configuration.tsx:697	መስቀል አልተሳካም
src/utils/ethiopianCalendar.ts:8	መስከረም
src/routes/woreda.credentials.$requestId.index.tsx:2680	መሻር
src/routes/woreda.credentials.$requestId.index.tsx:2787	መሻር አረጋግጥ
src/routes/woreda.dashboard.tsx:63	መታወቂያ ተሰርዟል
src/routes/woreda.dashboard.tsx:60	መታወቂያ ተሰጥቷል
src/routes/woreda.dashboard.tsx:111	መታወቂያ ተተክቷል
src/routes/woreda.dashboard.tsx:61	መታወቂያ ታትሟል
