Amharic,English,Occurrences,Example Location,Context,All Locations
ቀበሌ,Kebele,18,src/components/forms/HouseholdFormFields.tsx:90,labelAm/labelEn prop pair,src/components/forms/HouseholdFormFields.tsx:90; src/components/forms/ResidentWizardSteps.tsx:675; src/components/forms/ResidentWizardSteps.tsx:735; src/components/forms/ResidentWizardSteps.tsx:807; src/components/workflow/WorkflowQueueTable.tsx:224; src/routes/v.$token.tsx:303; src/routes/woreda.credentials.$requestId.certificate.tsx:163; src/routes/woreda.households.$householdId.print.tsx:186; src/routes/woreda.households.index.tsx:192; src/routes/woreda.rental-houses.$houseId.edit.tsx:140; src/routes/woreda.rental-houses.$houseId.occupant-print.tsx:234; src/routes/woreda.rental-houses.index.tsx:157; src/routes/woreda.rental-houses.new.tsx:120; src/routes/woreda.residents.$residentId.print.tsx:268; src/routes/woreda.residents.index.tsx:279; src/routes/woreda.revenue.$paymentId.receipt.tsx:761; src/routes/woreda.services.$requestId.index.tsx:550; src/routes/woreda.services.new.tsx:384
ሴት,Female,12,src/hooks/useReportsAggregate.ts:24,string literal,src/hooks/useReportsAggregate.ts:24; src/routes/woreda.civil.$eventId.tsx:564; src/routes/woreda.civil.$eventId.tsx:637; src/routes/woreda.credentials.$requestId.certificate.tsx:141; src/routes/woreda.credentials.$requestId.index.tsx:810; src/routes/woreda.credentials.$requestId.print.tsx:1463; src/routes/woreda.credentials.new.tsx:650; src/routes/woreda.rental-houses.$houseId.occupant-print.tsx:271; src/routes/woreda.reports.$reportType.print.tsx:156; src/routes/woreda.residents.$residentId.index.tsx:499; src/routes/woreda.residents.$residentId.print.tsx:228; src/routes/woreda.residents.index.tsx:408
የቤት ቁጥር,House Number,10,src/components/forms/HouseholdFormFields.tsx:121,labelAm/labelEn prop pair,src/components/forms/HouseholdFormFields.tsx:121; src/components/forms/ResidentWizardSteps.tsx:682; src/components/forms/ResidentWizardSteps.tsx:738; src/components/forms/ResidentWizardSteps.tsx:810; src/routes/woreda.households.$householdId.print.tsx:178; src/routes/woreda.rental-houses.$houseId.edit.tsx:150; src/routes/woreda.rental-houses.$houseId.occupant-print.tsx:226; src/routes/woreda.rental-houses.new.tsx:136; src/routes/woreda.residents.$residentId.index.tsx:440; src/routes/woreda.residents.$residentId.print.tsx:273
ሁሉም,All,9,src/components/workflow/WorkflowQueueTable.tsx:209,string literal,src/components/workflow/WorkflowQueueTable.tsx:209; src/components/workflow/WorkflowQueueTable.tsx:219; src/components/workflow/WorkflowQueueTable.tsx:230; src/components/workflow/WorkflowQueueTable.tsx:241; src/routes/woreda.households.index.tsx:308; src/routes/woreda.households.index.tsx:323; src/routes/woreda.households.index.tsx:338; src/routes/woreda.residents.index.tsx:406; src/routes/woreda.residents.index.tsx:419
ሁኔታ,Status,9,src/components/admin/PlatformUsersTab.tsx:217,string literal,src/components/admin/PlatformUsersTab.tsx:217; src/components/workflow/WorkflowQueueTable.tsx:203; src/routes/woreda.civil.index.tsx:284; src/routes/woreda.credentials.index.tsx:88; src/routes/woreda.households.index.tsx:201; src/routes/woreda.rental-houses.requests.index.tsx:185; src/routes/woreda.residents.index.tsx:287; src/routes/woreda.revenue.$paymentId.receipt.tsx:786; src/routes/woreda.settings.woreda-configuration.tsx:1452
ወንድ,Male,8,src/hooks/useReportsAggregate.ts:23,string literal,src/hooks/useReportsAggregate.ts:23; src/routes/woreda.civil.$eventId.tsx:562; src/routes/woreda.civil.$eventId.tsx:635; src/routes/woreda.credentials.$requestId.index.tsx:808; src/routes/woreda.credentials.new.tsx:648; src/routes/woreda.reports.$reportType.print.tsx:151; src/routes/woreda.residents.$residentId.index.tsx:497; src/routes/woreda.residents.index.tsx:407
ከመስመር ውጭ ተቀምጧል፣ ሲገናኙ በራስ ሰር ይላካል,Saved offline — will submit automatically once reconnected,7,src/routes/woreda.civil.birth.new.tsx:258,string literal,src/routes/woreda.civil.birth.new.tsx:258; src/routes/woreda.civil.death.new.tsx:186; src/routes/woreda.civil.divorce.new.tsx:198; src/routes/woreda.civil.marriage.new.tsx:190; src/routes/woreda.credentials.$requestId.index.tsx:1645; src/routes/woreda.credentials.new.tsx:478; src/routes/woreda.services.new.tsx:213
ወረዳ,Woreda,7,src/components/forms/ResidentWizardSteps.tsx:668,labelAm/labelEn prop pair,src/components/forms/ResidentWizardSteps.tsx:668; src/components/forms/ResidentWizardSteps.tsx:732; src/components/forms/ResidentWizardSteps.tsx:804; src/routes/v.$token.tsx:302; src/routes/woreda.households.$householdId.print.tsx:184; src/routes/woreda.rental-houses.$houseId.occupant-print.tsx:232; src/routes/woreda.residents.$residentId.print.tsx:266
ኢሜይል,Email,6,src/components/forms/HouseholdFormFields.tsx:299,labelAm/labelEn prop pair,src/components/forms/HouseholdFormFields.tsx:299; src/components/forms/ResidentWizardSteps.tsx:482; src/routes/woreda.households.$householdId.print.tsx:196; src/routes/woreda.residents.$residentId.index.tsx:519; src/routes/woreda.residents.$residentId.print.tsx:260; src/routes/woreda.settings.woreda-configuration.tsx:367
ሌላ,Other,5,src/hooks/useReportsAggregate.ts:68,string literal,src/hooks/useReportsAggregate.ts:68; src/routes/woreda.households.$householdId.index.tsx:70; src/routes/woreda.households.$householdId.print.tsx:32; src/routes/woreda.households.index.tsx:344; src/routes/woreda.residents.$residentId.print.tsx:171
