data_element,table_column,classification,db_readers,column_encryption,export_print_exposure,retention
FAN / national ID,"resident.national_id_no (+_enc, _blind_index)",Restricted,any active OR inactive tenant member (WP-DB-001/004) + super_admin,AES-256 pgp_sym copy; plaintext authoritative,ID card id_number fallback only; not in CSV/PDF exports; audit_log diffs (WP-PRV-002); wizard draft,Undefined (indefinite)
"Full name (Am/En), first/father/grandfather","resident.full_name, full_name_am, first_name, father_name, grandfather_name",Confidential,any active OR inactive tenant member (WP-DB-001/004) + super_admin,No,"CSV/PDF exports (residents, credentials, civil, services, rental); all prints; ID card; QR payload (n); public verify pages",Undefined
Mother's full name,resident.mother_full_name,Confidential,any active OR inactive tenant member (WP-DB-001/004) + super_admin,No,Resident profile print; wizard draft,Undefined
Date of birth,resident.date_of_birth,Confidential,any active OR inactive tenant member (WP-DB-001/004) + super_admin,No,Residents CSV/PDF; ID card; QR payload (b); staff-only on /v,Undefined
Sex,resident.sex,Confidential,any active OR inactive tenant member (WP-DB-001/004) + super_admin,No,Residents CSV/PDF; ID card; QR (g),Undefined
Marital status,resident.marital_status,Confidential,any active OR inactive tenant member (WP-DB-001/004) + super_admin,No,Resident profile print,Undefined
Deceased flag,resident.residency_status='deceased' (+ vital_event death),Confidential,any active OR inactive tenant member (WP-DB-001/004) + super_admin,No,Residents CSV/PDF status column,Undefined
Ethnicity,resident.ethnicity; vital_event.event_details.ethnicity,Restricted (special category),any active OR inactive tenant member (WP-DB-001/004) + super_admin,No,Resident profile print; population report aggregates; wizard draft; offline queue (birth),Undefined
Religion,resident.religion; vital_event.event_details.religion,Restricted (special category),any active OR inactive tenant member (WP-DB-001/004) + super_admin,No,Resident profile print; population report aggregates; wizard draft; offline queue (birth),Undefined
Phone,"resident.phone_number, household.phone_number, service_request.applicant_phone",Confidential,any active OR inactive tenant member (WP-DB-001/004) + super_admin,AES-256 copy + phone blind index; plaintext authoritative,Profile/household/occupant prints (decrypted); audit diffs; offline queue (services),Undefined
Email,"resident.email, household.email",Confidential,any active OR inactive tenant member (WP-DB-001/004) + super_admin,AES-256 copy; plaintext authoritative,Profile/household prints,Undefined
Household GPS,household.gps_lat/gps_lng; household_location.gps_lat/gps_lng,Restricted,any active OR inactive tenant member (WP-DB-001/004) + super_admin,No,"Map view (OSM tile requests, WP-PRV-008); wizard draft (latitude/longitude)",Undefined
Address / house number,"household.address_line, house_number, po_box; resident.current_residence_extra, birth_place, former_residence",Confidential,any active OR inactive tenant member (WP-DB-001/004) + super_admin,No,"Household/resident prints; QR payload (h, k)",Undefined
Resident photo,resident.photo_url -> storage resident-photos,Restricted (biometric-adjacent),any tenant member incl. RW/D (WP-DB-002),Provider storage encryption only (needs live verification),ID card; profile print; signed URLs 10-15 min,Undefined; not deleted on deactivation
Scanned identity / legal documents,"resident_document, credential_request.supporting_document_path, attachment, service_request_attachment, rental_request_document -> storage",Restricted,resident.read etc. at row level; storage path-prefix only (WP-DB-002),Provider storage encryption only,Signed URLs 5-10 min,Undefined; deletion unaudited
Civil event details,"vital_event.event_details (child, parents, spouse, witnesses, informant phone, cause_of_death, divorce grounds, birth weight)",Restricted (health/family),any active OR inactive tenant member (WP-DB-001/004) + super_admin,No,Civil list CSV/PDF (subject names); certificates; offline queue,Undefined (vital records normally permanent - needs decision)
Service/complaint content,"service_request.applicant_name, details, respondent_name, incident_place, issued_letter_html",Confidential/Restricted,any active OR inactive tenant member (WP-DB-001/004) + super_admin,Only applicant_phone,"Services CSV/PDF (applicant, subject); issued letter print; public letter verify (name, summary); offline queue",Undefined
Work / education,resident.work_info,Confidential,any active OR inactive tenant member (WP-DB-001/004) + super_admin,No,Report aggregates; profile print,Undefined
Financial amounts,"payment.amount, rent_*, arrears_*, household.rent_amount",Confidential,tenant member (payment) / rental.view (rent ledger),AES-256 copy; plaintext authoritative,Revenue CSV/PDF; receipts,Undefined
Credential token,residence_credential.qr_payload,Confidential,tenant member; public via /v/<token>,"No (signed, not encrypted)",Printed QR; hosting access logs; verification log,Undefined
Staff identity,"app_user.full_name, username, photo_path, signature_path, last_login_at",Internal/Confidential,own row; tenant admins; super_admin,No,Platform users CSV/PDF; signatures on documents,Undefined
Audit payloads,audit_log.old_value_json/new_value_json,"Confidential (contains Restricted, WP-PRV-002)",any tenant member (WP-DB-004),No,Audit CSV/PDF (no payload columns),Undefined (never purged)
IP addresses,audit_log.source_ip; credential_verification_log.source_ip,Confidential,tenant member / super_admin,No,Audit CSV/PDF (Source IP column),Undefined (never purged)
Verification probes,credential_verification_log.attempted_value (full token incl. name/DOB),Confidential,matched tenant staff / super_admin,No,-,Undefined (never purged)
